,시점,계,남자,여자
1,2007. 12,766,503,263
2,2008. 01,809,517,292
3,2008. 02,821,557,264
4,2008. 03,991,649,342
5,2008. 04,980,657,323
6,2008. 05,1018,682,336
7,2008. 06,1040,712,328
8,2008. 07,956,646,310
9,2008. 08,961,604,357
10,2008. 09,1083,715,368
11,2008. 10,1793,995,798
12,2008. 11,1288,816,472
13,2008. 12,1118,710,408
14,2009. 01,1021,656,365
15,2009. 02,1074,703,371
16,2009. 03,1370,826,544
17,2009. 04,1425,899,526
18,2009. 05,1619,1040,579
19,2009. 06,1582,1007,575
20,2009. 07,1396,924,472
21,2009. 08,1302,858,444
22,2009. 09,1228,798,430
23,2009. 10,1174,776,398
24,2009. 11,1165,750,415
25,2009. 12,1056,699,357
26,2010. 01,955,632,323
27,2010. 02,953,615,338
28,2010. 03,1212,797,415
29,2010. 04,1508,1010,498
30,2010. 05,1583,1032,551
31,2010. 06,1378,915,463
32,2010. 07,1638,1081,557
33,2010. 08,1455,966,489
34,2010. 09,1285,883,402
35,2010. 10,1391,951,440
36,2010. 11,1151,749,402
37,2010. 12,1057,698,359
38,2011. 01,944,634,310
39,2011. 02,1064,734,330
40,2011. 03,1281,860,421
41,2011. 04,1452,993,459
42,2011. 05,1650,1116,534
43,2011. 06,1616,1094,522
44,2011. 07,1456,997,459
45,2011. 08,1512,1011,501
46,2011. 09,1365,940,425
47,2011. 10,1324,896,428
48,2011. 11,1199,850,349
49,2011. 12,1043,741,302
50,2012. 01,1018,713,305
51,2012. 02,1133,777,356
52,2012. 03,1337,941,396
53,2012. 04,1348,906,442
54,2012. 05,1344,904,440
55,2012. 06,1283,861,422
56,2012. 07,1186,810,376
57,2012. 08,1133,763,370
58,2012. 09,1195,799,396
59,2012. 10,1208,821,387
60,2012. 11,1058,708,350
61,2012. 12,917,619,298
62,2013. 01,1275,912,363
63,2013. 02,1162,805,357
64,2013. 03,1388,944,444
65,2013. 04,1255,868,387
66,2013. 05,1349,949,400
67,2013. 06,1278,891,387
68,2013. 07,1185,823,362
69,2013. 08,1159,815,344
70,2013. 09,1157,810,347
71,2013. 10,1200,816,384
72,2013. 11,1033,744,289
73,2013. 12,986,683,303
74,2014. 01,1076,772,304
75,2014. 02,1065,754,311
76,2014. 03,1491,1060,431
77,2014. 04,1359,939,420
78,2014. 05,1273,934,339
79,2014. 06,1184,846,338
80,2014. 07,1156,790,366
81,2014. 08,1142,798,344
82,2014. 09,1108,761,347
83,2014. 10,1023,716,307
84,2014. 11,1002,697,305
85,2014. 12,957,669,288
86,2015. 01,1050,735,315
87,2015. 02,1012,731,281
88,2015. 03,1237,867,370
89,2015. 04,1335,954,381
90,2015. 05,1361,986,375
91,2015. 06,1122,784,338
92,2015. 07,1158,801,357
93,2015. 08,1188,847,341
94,2015. 09,1049,727,322
95,2015. 10,1055,755,300
96,2015. 11,975,675,300
97,2015. 12,971,697,274
98,2016. 01,905,642,263
99,2016. 02,968,681,287
100,2016. 03,1232,877,355
101,2016. 04,1141,819,322
102,2016. 05,1197,862,335
103,2016. 06,1128,778,350
104,2016. 07,1108,780,328
105,2016. 08,1115,769,346
106,2016. 09,1217,867,350
107,2016. 10,1151,788,363
108,2016. 11,967,681,286
109,2016. 12,963,699,264
110,2017. 01,923,669,254
111,2017. 02,935,685,250
112,2017. 03,1037,742,295
113,2017. 04,1097,786,311
114,2017. 05,1158,827,331
115,2017. 06,1075,772,303
116,2017. 07,1018,720,298
117,2017. 08,1119,788,331
118,2017. 09,1050,736,314
119,2017. 10,1105,794,311
120,2017. 11,981,711,270
121,2017. 12,965,692,273
